,Close,Contract,Year,ContractSymbol_x,ContractSymbol1,ContractSymbol_y,Expiration,SettlementPrice,DaysToExpiry,Close_next
11/06/2014,12.45,CFE_VX_M4,2014,VX/M4,VX/M4_2014,VX/M4_2014,18/06/2014,11.74,7,
12/06/2014,13.2,CFE_VX_M4,2014,VX/M4,VX/M4_2014,VX/M4_2014,18/06/2014,11.74,6,
13/06/2014,12.9,CFE_VX_M4,2014,VX/M4,VX/M4_2014,VX/M4_2014,18/06/2014,11.74,5,
16/06/2014,13,CFE_VX_M4,2014,VX/M4,VX/M4_2014,VX/M4_2014,18/06/2014,11.74,2,
17/06/2014,12.35,CFE_VX_M4,2014,VX/M4,VX/M4_2014,VX/M4_2014,18/06/2014,11.74,1,13.44
18/06/2014,12.65,CFE_VX_N4,2014,VX/N4,VX/N4_2014,VX/N4_2014,16/07/2014,11.03,28,
19/06/2014,12.79,CFE_VX_N4,2014,VX/N4,VX/N4_2014,VX/N4_2014,16/07/2014,11.03,27,
20/06/2014,12.9,CFE_VX_N4,2014,VX/N4,VX/N4_2014,VX/N4_2014,16/07/2014,11.03,26,
23/06/2014,12.55,CFE_VX_N4,2014,VX/N4,VX/N4_2014,VX/N4_2014,16/07/2014,11.03,23,
24/06/2014,13.05,CFE_VX_N4,2014,VX/N4,VX/N4_2014,VX/N4_2014,16/07/2014,11.03,22,
25/06/2014,12.62,CFE_VX_N4,2014,VX/N4,VX/N4_2014,VX/N4_2014,16/07/2014,11.03,21,
26/06/2014,12.75,CFE_VX_N4,2014,VX/N4,VX/N4_2014,VX/N4_2014,16/07/2014,11.03,20,
27/06/2014,12.6,CFE_VX_N4,2014,VX/N4,VX/N4_2014,VX/N4_2014,16/07/2014,11.03,19,
30/06/2014,12.45,CFE_VX_N4,2014,VX/N4,VX/N4_2014,VX/N4_2014,16/07/2014,11.03,16,
01/07/2014,12.1,CFE_VX_N4,2014,VX/N4,VX/N4_2014,VX/N4_2014,16/07/2014,11.03,15,
02/07/2014,11.95,CFE_VX_N4,2014,VX/N4,VX/N4_2014,VX/N4_2014,16/07/2014,11.03,14,
03/07/2014,11.8,CFE_VX_N4,2014,VX/N4,VX/N4_2014,VX/N4_2014,16/07/2014,11.03,13,
07/07/2014,12.1,CFE_VX_N4,2014,VX/N4,VX/N4_2014,VX/N4_2014,16/07/2014,11.03,9,
08/07/2014,12.35,CFE_VX_N4,2014,VX/N4,VX/N4_2014,VX/N4_2014,16/07/2014,11.03,8,
09/07/2014,12.25,CFE_VX_N4,2014,VX/N4,VX/N4_2014,VX/N4_2014,16/07/2014,11.03,7,
10/07/2014,13,CFE_VX_N4,2014,VX/N4,VX/N4_2014,VX/N4_2014,16/07/2014,11.03,6,
11/07/2014,12.65,CFE_VX_N4,2014,VX/N4,VX/N4_2014,VX/N4_2014,16/07/2014,11.03,5,
14/07/2014,12.05,CFE_VX_N4,2014,VX/N4,VX/N4_2014,VX/N4_2014,16/07/2014,11.03,2,
15/07/2014,12.2,CFE_VX_N4,2014,VX/N4,VX/N4_2014,VX/N4_2014,16/07/2014,11.03,1,12.95
16/07/2014,12.7,CFE_VX_Q4,2014,VX/Q4,VX/Q4_2014,VX/Q4_2014,20/08/2014,12.15,35,
17/07/2014,13.7,CFE_VX_Q4,2014,VX/Q4,VX/Q4_2014,VX/Q4_2014,20/08/2014,12.15,34,
18/07/2014,13,CFE_VX_Q4,2014,VX/Q4,VX/Q4_2014,VX/Q4_2014,20/08/2014,12.15,33,
21/07/2014,13.4,CFE_VX_Q4,2014,VX/Q4,VX/Q4_2014,VX/Q4_2014,20/08/2014,12.15,30,
22/07/2014,13,CFE_VX_Q4,2014,VX/Q4,VX/Q4_2014,VX/Q4_2014,20/08/2014,12.15,29,
23/07/2014,13.05,CFE_VX_Q4,2014,VX/Q4,VX/Q4_2014,VX/Q4_2014,20/08/2014,12.15,28,
24/07/2014,13.17,CFE_VX_Q4,2014,VX/Q4,VX/Q4_2014,VX/Q4_2014,20/08/2014,12.15,27,
25/07/2014,13.5,CFE_VX_Q4,2014,VX/Q4,VX/Q4_2014,VX/Q4_2014,20/08/2014,12.15,26,
28/07/2014,13.35,CFE_VX_Q4,2014,VX/Q4,VX/Q4_2014,VX/Q4_2014,20/08/2014,12.15,23,
29/07/2014,13.45,CFE_VX_Q4,2014,VX/Q4,VX/Q4_2014,VX/Q4_2014,20/08/2014,12.15,22,
30/07/2014,13.55,CFE_VX_Q4,2014,VX/Q4,VX/Q4_2014,VX/Q4_2014,20/08/2014,12.15,21,
31/07/2014,15.2,CFE_VX_Q4,2014,VX/Q4,VX/Q4_2014,VX/Q4_2014,20/08/2014,12.15,20,
01/08/2014,16.05,CFE_VX_Q4,2014,VX/Q4,VX/Q4_2014,VX/Q4_2014,20/08/2014,12.15,19,
04/08/2014,14.95,CFE_VX_Q4,2014,VX/Q4,VX/Q4_2014,VX/Q4_2014,20/08/2014,12.15,16,
05/08/2014,16.15,CFE_VX_Q4,2014,VX/Q4,VX/Q4_2014,VX/Q4_2014,20/08/2014,12.15,15,
06/08/2014,16.15,CFE_VX_Q4,2014,VX/Q4,VX/Q4_2014,VX/Q4_2014,20/08/2014,12.15,14,
07/08/2014,16.65,CFE_VX_Q4,2014,VX/Q4,VX/Q4_2014,VX/Q4_2014,20/08/2014,12.15,13,
08/08/2014,15.97,CFE_VX_Q4,2014,VX/Q4,VX/Q4_2014,VX/Q4_2014,20/08/2014,12.15,12,
11/08/2014,14.75,CFE_VX_Q4,2014,VX/Q4,VX/Q4_2014,VX/Q4_2014,20/08/2014,12.15,9,
12/08/2014,14.65,CFE_VX_Q4,2014,VX/Q4,VX/Q4_2014,VX/Q4_2014,20/08/2014,12.15,8,
13/08/2014,13.55,CFE_VX_Q4,2014,VX/Q4,VX/Q4_2014,VX/Q4_2014,20/08/2014,12.15,7,
14/08/2014,12.92,CFE_VX_Q4,2014,VX/Q4,VX/Q4_2014,VX/Q4_2014,20/08/2014,12.15,6,
15/08/2014,13.2,CFE_VX_Q4,2014,VX/Q4,VX/Q4_2014,VX/Q4_2014,20/08/2014,12.15,5,
18/08/2014,12.55,CFE_VX_Q4,2014,VX/Q4,VX/Q4_2014,VX/Q4_2014,20/08/2014,12.15,2,
19/08/2014,12.2,CFE_VX_Q4,2014,VX/Q4,VX/Q4_2014,VX/Q4_2014,20/08/2014,12.15,1,13.45
20/08/2014,13.5,CFE_VX_U4,2014,VX/U4,VX/U4_2014,VX/U4_2014,17/09/2014,13.03,28,
21/08/2014,13.38,CFE_VX_U4,2014,VX/U4,VX/U4_2014,VX/U4_2014,17/09/2014,13.03,27,
22/08/2014,13.45,CFE_VX_U4,2014,VX/U4,VX/U4_2014,VX/U4_2014,17/09/2014,13.03,26,
25/08/2014,13.35,CFE_VX_U4,2014,VX/U4,VX/U4_2014,VX/U4_2014,17/09/2014,13.03,23,
26/08/2014,13.45,CFE_VX_U4,2014,VX/U4,VX/U4_2014,VX/U4_2014,17/09/2014,13.03,22,
27/08/2014,13.53,CFE_VX_U4,2014,VX/U4,VX/U4_2014,VX/U4_2014,17/09/2014,13.03,21,
28/08/2014,13.6,CFE_VX_U4,2014,VX/U4,VX/U4_2014,VX/U4_2014,17/09/2014,13.03,20,
29/08/2014,13.8,CFE_VX_U4,2014,VX/U4,VX/U4_2014,VX/U4_2014,17/09/2014,13.03,19,
02/09/2014,13.75,CFE_VX_U4,2014,VX/U4,VX/U4_2014,VX/U4_2014,17/09/2014,13.03,15,
03/09/2014,13.5,CFE_VX_U4,2014,VX/U4,VX/U4_2014,VX/U4_2014,17/09/2014,13.03,14,
04/09/2014,13.55,CFE_VX_U4,2014,VX/U4,VX/U4_2014,VX/U4_2014,17/09/2014,13.03,13,
05/09/2014,13.2,CFE_VX_U4,2014,VX/U4,VX/U4_2014,VX/U4_2014,17/09/2014,13.03,12,
08/09/2014,13.32,CFE_VX_U4,2014,VX/U4,VX/U4_2014,VX/U4_2014,17/09/2014,13.03,9,
09/09/2014,13.85,CFE_VX_U4,2014,VX/U4,VX/U4_2014,VX/U4_2014,17/09/2014,13.03,8,
10/09/2014,13.7,CFE_VX_U4,2014,VX/U4,VX/U4_2014,VX/U4_2014,17/09/2014,13.03,7,
11/09/2014,13.55,CFE_VX_U4,2014,VX/U4,VX/U4_2014,VX/U4_2014,17/09/2014,13.03,6,
12/09/2014,14.05,CFE_VX_U4,2014,VX/U4,VX/U4_2014,VX/U4_2014,17/09/2014,13.03,5,
15/09/2014,14.4,CFE_VX_U4,2014,VX/U4,VX/U4_2014,VX/U4_2014,17/09/2014,13.03,2,
16/09/2014,13,CFE_VX_U4,2014,VX/U4,VX/U4_2014,VX/U4_2014,17/09/2014,13.03,1,14.35
17/09/2014,14.25,CFE_VX_V4,2014,VX/V4,VX/V4_2014,VX/V4_2014,22/10/2014,15.92,35,
18/09/2014,14.05,CFE_VX_V4,2014,VX/V4,VX/V4_2014,VX/V4_2014,22/10/2014,15.92,34,
19/09/2014,14.1,CFE_VX_V4,2014,VX/V4,VX/V4_2014,VX/V4_2014,22/10/2014,15.92,33,
22/09/2014,14.9,CFE_VX_V4,2014,VX/V4,VX/V4_2014,VX/V4_2014,22/10/2014,15.92,30,
23/09/2014,15.35,CFE_VX_V4,2014,VX/V4,VX/V4_2014,VX/V4_2014,22/10/2014,15.92,29,
24/09/2014,14.6,CFE_VX_V4,2014,VX/V4,VX/V4_2014,VX/V4_2014,22/10/2014,15.92,28,
25/09/2014,15.75,CFE_VX_V4,2014,VX/V4,VX/V4_2014,VX/V4_2014,22/10/2014,15.92,27,
26/09/2014,15.3,CFE_VX_V4,2014,VX/V4,VX/V4_2014,VX/V4_2014,22/10/2014,15.92,26,
29/09/2014,16.25,CFE_VX_V4,2014,VX/V4,VX/V4_2014,VX/V4_2014,22/10/2014,15.92,23,
30/09/2014,16.3,CFE_VX_V4,2014,VX/V4,VX/V4_2014,VX/V4_2014,22/10/2014,15.92,22,
01/10/2014,16.85,CFE_VX_V4,2014,VX/V4,VX/V4_2014,VX/V4_2014,22/10/2014,15.92,21,
02/10/2014,16.5,CFE_VX_V4,2014,VX/V4,VX/V4_2014,VX/V4_2014,22/10/2014,15.92,20,
03/10/2014,15.15,CFE_VX_V4,2014,VX/V4,VX/V4_2014,VX/V4_2014,22/10/2014,15.92,19,
06/10/2014,15.72,CFE_VX_V4,2014,VX/V4,VX/V4_2014,VX/V4_2014,22/10/2014,15.92,16,
07/10/2014,17.1,CFE_VX_V4,2014,VX/V4,VX/V4_2014,VX/V4_2014,22/10/2014,15.92,15,
08/10/2014,15.25,CFE_VX_V4,2014,VX/V4,VX/V4_2014,VX/V4_2014,22/10/2014,15.92,14,
09/10/2014,17.15,CFE_VX_V4,2014,VX/V4,VX/V4_2014,VX/V4_2014,22/10/2014,15.92,13,
10/10/2014,19.8,CFE_VX_V4,2014,VX/V4,VX/V4_2014,VX/V4_2014,22/10/2014,15.92,12,
13/10/2014,22.75,CFE_VX_V4,2014,VX/V4,VX/V4_2014,VX/V4_2014,22/10/2014,15.92,9,
14/10/2014,20.9,CFE_VX_V4,2014,VX/V4,VX/V4_2014,VX/V4_2014,22/10/2014,15.92,8,
15/10/2014,23.93,CFE_VX_V4,2014,VX/V4,VX/V4_2014,VX/V4_2014,22/10/2014,15.92,7,
16/10/2014,22.27,CFE_VX_V4,2014,VX/V4,VX/V4_2014,VX/V4_2014,22/10/2014,15.92,6,
17/10/2014,21,CFE_VX_V4,2014,VX/V4,VX/V4_2014,VX/V4_2014,22/10/2014,15.92,5,
20/10/2014,18.5,CFE_VX_V4,2014,VX/V4,VX/V4_2014,VX/V4_2014,22/10/2014,15.92,2,
21/10/2014,16.35,CFE_VX_V4,2014,VX/V4,VX/V4_2014,VX/V4_2014,22/10/2014,15.92,1,16.9
22/10/2014,18.05,CFE_VX_X4,2014,VX/X4,VX/X4_2014,VX/X4_2014,19/11/2014,14.55,28,
23/10/2014,17.25,CFE_VX_X4,2014,VX/X4,VX/X4_2014,VX/X4_2014,19/11/2014,14.55,27,
24/10/2014,16.95,CFE_VX_X4,2014,VX/X4,VX/X4_2014,VX/X4_2014,19/11/2014,14.55,26,
27/10/2014,16.95,CFE_VX_X4,2014,VX/X4,VX/X4_2014,VX/X4_2014,19/11/2014,14.55,23,
28/10/2014,15.65,CFE_VX_X4,2014,VX/X4,VX/X4_2014,VX/X4_2014,19/11/2014,14.55,22,
29/10/2014,16.25,CFE_VX_X4,2014,VX/X4,VX/X4_2014,VX/X4_2014,19/11/2014,14.55,21,
30/10/2014,16.1,CFE_VX_X4,2014,VX/X4,VX/X4_2014,VX/X4_2014,19/11/2014,14.55,20,
31/10/2014,15.75,CFE_VX_X4,2014,VX/X4,VX/X4_2014,VX/X4_2014,19/11/2014,14.55,19,
03/11/2014,15.95,CFE_VX_X4,2014,VX/X4,VX/X4_2014,VX/X4_2014,19/11/2014,14.55,16,
04/11/2014,15.85,CFE_VX_X4,2014,VX/X4,VX/X4_2014,VX/X4_2014,19/11/2014,14.55,15,
05/11/2014,15.27,CFE_VX_X4,2014,VX/X4,VX/X4_2014,VX/X4_2014,19/11/2014,14.55,14,
06/11/2014,14.85,CFE_VX_X4,2014,VX/X4,VX/X4_2014,VX/X4_2014,19/11/2014,14.55,13,
07/11/2014,14.8,CFE_VX_X4,2014,VX/X4,VX/X4_2014,VX/X4_2014,19/11/2014,14.55,12,
10/11/2014,14,CFE_VX_X4,2014,VX/X4,VX/X4_2014,VX/X4_2014,19/11/2014,14.55,9,
11/11/2014,14.1,CFE_VX_X4,2014,VX/X4,VX/X4_2014,VX/X4_2014,19/11/2014,14.55,8,
12/11/2014,14.4,CFE_VX_X4,2014,VX/X4,VX/X4_2014,VX/X4_2014,19/11/2014,14.55,7,
13/11/2014,14.7,CFE_VX_X4,2014,VX/X4,VX/X4_2014,VX/X4_2014,19/11/2014,14.55,6,
14/11/2014,14.3,CFE_VX_X4,2014,VX/X4,VX/X4_2014,VX/X4_2014,19/11/2014,14.55,5,
17/11/2014,14.35,CFE_VX_X4,2014,VX/X4,VX/X4_2014,VX/X4_2014,19/11/2014,14.55,2,
18/11/2014,14,CFE_VX_X4,2014,VX/X4,VX/X4_2014,VX/X4_2014,19/11/2014,14.55,1,15.25
19/11/2014,15.5,CFE_VX_Z4,2014,VX/Z4,VX/Z4_2014,VX/Z4_2014,17/12/2014,24.09,28,
20/11/2014,15.15,CFE_VX_Z4,2014,VX/Z4,VX/Z4_2014,VX/Z4_2014,17/12/2014,24.09,27,
21/11/2014,14.9,CFE_VX_Z4,2014,VX/Z4,VX/Z4_2014,VX/Z4_2014,17/12/2014,24.09,26,
24/11/2014,14.55,CFE_VX_Z4,2014,VX/Z4,VX/Z4_2014,VX/Z4_2014,17/12/2014,24.09,23,
25/11/2014,14.45,CFE_VX_Z4,2014,VX/Z4,VX/Z4_2014,VX/Z4_2014,17/12/2014,24.09,22,
26/11/2014,14.2,CFE_VX_Z4,2014,VX/Z4,VX/Z4_2014,VX/Z4_2014,17/12/2014,24.09,21,
28/11/2014,14.84,CFE_VX_Z4,2014,VX/Z4,VX/Z4_2014,VX/Z4_2014,17/12/2014,24.09,19,
01/12/2014,15.6,CFE_VX_Z4,2014,VX/Z4,VX/Z4_2014,VX/Z4_2014,17/12/2014,24.09,16,
02/12/2014,14.21,CFE_VX_Z4,2014,VX/Z4,VX/Z4_2014,VX/Z4_2014,17/12/2014,24.09,15,
03/12/2014,14.24,CFE_VX_Z4,2014,VX/Z4,VX/Z4_2014,VX/Z4_2014,17/12/2014,24.09,14,
04/12/2014,13.95,CFE_VX_Z4,2014,VX/Z4,VX/Z4_2014,VX/Z4_2014,17/12/2014,24.09,13,
05/12/2014,13.55,CFE_VX_Z4,2014,VX/Z4,VX/Z4_2014,VX/Z4_2014,17/12/2014,24.09,12,
08/12/2014,14.7,CFE_VX_Z4,2014,VX/Z4,VX/Z4_2014,VX/Z4_2014,17/12/2014,24.09,9,
