Date,Close,Contract,Year,ContractSymbol,ContractSymbol1
2014-12-11,19.8,CFE_VX_K5,2014,VX/K5,VX/K5_2015
2014-12-11,20.05,CFE_VX_M5,2014,VX/M5,VX/M5_2015
2014-12-11,20.3,CFE_VX_N5,2014,VX/N5,VX/N5_2015
2014-12-11,20.42,CFE_VX_Q5,2014,VX/Q5,VX/Q5_2015
2014-12-11,19.1,CFE_VX_Z4,2014,VX/Z4,VX/Z4_2014
2014-12-12,19.15,CFE_VX_F5,2014,VX/F5,VX/F5_2015
2014-12-12,19.4,CFE_VX_G5,2014,VX/G5,VX/G5_2015
2014-12-12,19.5,CFE_VX_H5,2014,VX/H5,VX/H5_2015
2014-12-12,19.8,CFE_VX_J5,2014,VX/J5,VX/J5_2015
2014-12-12,19.95,CFE_VX_K5,2014,VX/K5,VX/K5_2015
2014-12-12,20.2,CFE_VX_M5,2014,VX/M5,VX/M5_2015
2014-12-12,20.43,CFE_VX_N5,2014,VX/N5,VX/N5_2015
2014-12-12,20.7,CFE_VX_Q5,2014,VX/Q5,VX/Q5_2015
2014-12-12,19.6,CFE_VX_Z4,2014,VX/Z4,VX/Z4_2014
2014-12-15,18.74,CFE_VX_F5,2014,VX/F5,VX/F5_2015
2014-12-15,19.12,CFE_VX_G5,2014,VX/G5,VX/G5_2015
2014-12-15,19.3,CFE_VX_H5,2014,VX/H5,VX/H5_2015
2014-12-15,19.65,CFE_VX_J5,2014,VX/J5,VX/J5_2015
2014-12-15,19.87,CFE_VX_K5,2014,VX/K5,VX/K5_2015
2014-12-15,20.15,CFE_VX_M5,2014,VX/M5,VX/M5_2015
2014-12-15,20.3,CFE_VX_N5,2014,VX/N5,VX/N5_2015
2014-12-15,20.4,CFE_VX_Q5,2014,VX/Q5,VX/Q5_2015
2014-12-15,19.6,CFE_VX_Z4,2014,VX/Z4,VX/Z4_2014
2014-12-16,20.05,CFE_VX_F5,2014,VX/F5,VX/F5_2015
2014-12-16,20.06,CFE_VX_G5,2014,VX/G5,VX/G5_2015
2014-12-16,20.0,CFE_VX_H5,2014,VX/H5,VX/H5_2015
2014-12-16,20.2,CFE_VX_J5,2014,VX/J5,VX/J5_2015
2014-12-16,20.35,CFE_VX_K5,2014,VX/K5,VX/K5_2015
2014-12-16,20.65,CFE_VX_M5,2014,VX/M5,VX/M5_2015
2014-12-16,20.89,CFE_VX_N5,2014,VX/N5,VX/N5_2015
2014-12-16,20.9,CFE_VX_Q5,2014,VX/Q5,VX/Q5_2015
2014-12-16,23.1,CFE_VX_Z4,2014,VX/Z4,VX/Z4_2014
2014-12-17,17.6,CFE_VX_F5,2014,VX/F5,VX/F5_2015
2014-12-17,18.1,CFE_VX_G5,2014,VX/G5,VX/G5_2015
2014-12-17,18.25,CFE_VX_H5,2014,VX/H5,VX/H5_2015
2014-12-17,18.7,CFE_VX_J5,2014,VX/J5,VX/J5_2015
2014-12-17,19.0,CFE_VX_K5,2014,VX/K5,VX/K5_2015
2014-12-17,19.25,CFE_VX_M5,2014,VX/M5,VX/M5_2015
2014-12-17,19.55,CFE_VX_N5,2014,VX/N5,VX/N5_2015
2014-12-17,19.54,CFE_VX_Q5,2014,VX/Q5,VX/Q5_2015
2014-12-17,22.3,CFE_VX_Z4,2014,VX/Z4,VX/Z4_2014
2014-12-18,17.18,CFE_VX_F5,2014,VX/F5,VX/F5_2015
2014-12-18,17.55,CFE_VX_G5,2014,VX/G5,VX/G5_2015
2014-12-18,17.78,CFE_VX_H5,2014,VX/H5,VX/H5_2015
2014-12-18,18.13,CFE_VX_J5,2014,VX/J5,VX/J5_2015
2014-12-18,18.4,CFE_VX_K5,2014,VX/K5,VX/K5_2015
2014-12-18,18.65,CFE_VX_M5,2014,VX/M5,VX/M5_2015
2014-12-18,19.05,CFE_VX_N5,2014,VX/N5,VX/N5_2015
2014-12-18,19.19,CFE_VX_Q5,2014,VX/Q5,VX/Q5_2015
2014-12-19,16.55,CFE_VX_F5,2014,VX/F5,VX/F5_2015
2014-12-19,17.2,CFE_VX_G5,2014,VX/G5,VX/G5_2015
2014-12-19,17.5,CFE_VX_H5,2014,VX/H5,VX/H5_2015
2014-12-19,17.9,CFE_VX_J5,2014,VX/J5,VX/J5_2015
2014-12-19,18.17,CFE_VX_K5,2014,VX/K5,VX/K5_2015
2014-12-19,18.4,CFE_VX_M5,2014,VX/M5,VX/M5_2015
2014-12-19,18.64,CFE_VX_N5,2014,VX/N5,VX/N5_2015
2014-12-19,18.82,CFE_VX_Q5,2014,VX/Q5,VX/Q5_2015
2014-12-22,16.4,CFE_VX_F5,2014,VX/F5,VX/F5_2015
2014-12-22,17.03,CFE_VX_G5,2014,VX/G5,VX/G5_2015
2014-12-22,17.37,CFE_VX_H5,2014,VX/H5,VX/H5_2015
2014-12-22,17.75,CFE_VX_J5,2014,VX/J5,VX/J5_2015
2014-12-22,18.0,CFE_VX_K5,2014,VX/K5,VX/K5_2015
2014-12-22,18.35,CFE_VX_M5,2014,VX/M5,VX/M5_2015
2014-12-22,18.63,CFE_VX_N5,2014,VX/N5,VX/N5_2015
2014-12-22,18.8,CFE_VX_Q5,2014,VX/Q5,VX/Q5_2015
2014-12-22,0.0,CFE_VX_U5,2014,VX/U5,VX/U5_2015
2014-12-23,15.95,CFE_VX_F5,2014,VX/F5,VX/F5_2015
2014-12-23,16.75,CFE_VX_G5,2014,VX/G5,VX/G5_2015
2014-12-23,17.26,CFE_VX_H5,2014,VX/H5,VX/H5_2015
